,0
price_dev,30.424922765121067
price_to_age_ratio,18.811422737000633
dev_x_ratio,11.635137376870395
Days_To_Maturity,6.08243581394315
Mango_Age_Days,3.3307552267050893
age_x_price,3.3141541106072196
local_price_roll14,2.548003351156322
Temp_C,1.8265314282638863
local_price_roll7,1.715881369142584
local_price_lag1,1.521163334619321
doy_sin,1.4517290776961678
export_price_mom1,1.4050967338253093
export_price_roll14,1.3921887643939366
local_price_vol14,1.3812990144344572
Humidity_%,1.3473456611937822
doy_cos,1.1617961820157041
local_price_vol7,1.1524251677528037
export_price_roll7,1.0674990610021646
export_price_lag1,1.0596562677329726
vol_x_mom,0.7204929584102522
